Player,FGM,FGA,FG_pc,3PM,3PA,3P_pc,FTM,FTA,FT_pc,OREB,DREB,REB,AST,STL,BLK,TOV,ID,Pos,2PA,2PM,2P_pc
Tyler Herro,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87.0,0.3,3.8,4.1,2.2,0.6,0.2,1.6,herroty01,SG,6.1,2.8000000000000003,0.459016393442623
Duncan Robinson,4.4,9.4,47.0,3.7,8.3,44.6,0.9,1.0,93.1,0.1,3.0,3.2,1.4,0.5,0.3,1.0,robindu01,SG,1.0999999999999996,0.7000000000000002,0.6363636363636367
Coby White,4.8,12.2,39.4,2.0,5.8,35.4,1.6,2.0,79.1,0.4,3.1,3.5,2.7,0.8,0.1,1.7,whiteco01,PG,6.3999999999999995,2.8,0.4375
Christian Wood,4.6,8.2,56.7,0.9,2.3,38.6,2.9,3.9,74.4,1.7,4.6,6.3,1.0,0.5,0.9,1.4,woodch01,PF,5.8999999999999995,3.6999999999999997,0.6271186440677966
Ricky Rubio,4.4,10.6,41.5,1.2,3.3,36.1,3.0,3.5,86.3,0.7,4.0,4.7,8.8,1.4,0.2,2.7,rubiori01,PG,7.3,3.2,0.4383561643835617
Miles Bridges,4.9,11.6,42.4,1.5,4.6,33.0,1.6,2.0,80.9,1.4,4.2,5.6,1.8,0.6,0.7,1.5,bridgmi02,SF,7.0,3.4000000000000004,0.48571428571428577
Marcus Smart,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,0.7,3.1,3.8,4.9,1.7,0.5,1.7,smartma01,SG,4.800000000000001,2.0,0.41666666666666663
Kyle Kuzma,4.8,11.0,43.6,1.4,4.5,31.6,1.9,2.5,73.5,0.9,3.6,4.5,1.3,0.5,0.4,1.5,kuzmaky01,PF,6.5,3.4,0.5230769230769231
Damion Lee,4.3,10.4,41.7,1.7,4.9,35.6,2.2,2.6,87.3,0.7,4.2,4.9,2.7,1.0,0.1,1.4,leeda03,SG,5.5,2.5999999999999996,0.47272727272727266
Robert Covington,4.4,10.3,42.2,2.3,6.9,33.5,1.4,1.8,79.8,0.9,5.7,6.6,1.3,1.6,1.3,1.5,covinro01,SF,3.4000000000000004,2.1000000000000005,0.6176470588235295
Seth Curry,4.4,9.0,49.5,2.3,5.0,45.2,1.3,1.5,82.5,0.4,1.8,2.3,1.9,0.6,0.1,1.0,curryse01,SG,4.0,2.1000000000000005,0.5250000000000001
De'Andre Hunter,4.4,10.8,41.0,1.7,4.8,35.5,1.7,2.3,76.4,0.7,3.8,4.5,1.8,0.7,0.3,1.6,huntede01,SF,6.000000000000001,2.7,0.44999999999999996
Darius Garland,4.7,11.8,40.1,1.8,5.0,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,0.7,0.1,2.6,garlada01,SG,6.800000000000001,2.9000000000000004,0.4264705882352941
P.J. Washington,4.6,10.2,45.5,1.5,4.0,37.4,1.5,2.3,64.7,1.0,4.4,5.4,2.1,0.9,0.8,1.6,washipj01,PF,6.199999999999999,3.0999999999999996,0.5
Kevin Huerter,4.5,10.9,41.3,2.3,6.0,38.0,0.9,1.1,82.8,0.6,3.4,4.1,3.8,0.9,0.5,1.6,huertke01,SG,4.9,2.2,0.4489795918367347
Markelle Fultz,5.0,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73.0,0.6,2.7,3.3,5.1,1.3,0.2,2.0,fultzma01,SG,8.799999999999999,4.5,0.5113636363636365
Myles Turner,4.3,9.5,45.7,1.4,4.0,34.4,2.0,2.7,75.1,1.4,5.2,6.6,1.2,0.7,2.1,1.4,turnemy01,C,5.5,2.9,0.5272727272727272
Taurean Prince,4.3,11.5,37.6,2.3,6.7,33.9,1.1,1.4,79.8,0.8,5.2,6.0,1.8,0.9,0.4,2.0,princta02,SF,4.8,2.0,0.4166666666666667
Brandon Clarke,5.1,8.3,61.8,0.4,1.1,35.9,1.5,1.9,75.9,1.6,4.4,5.9,1.4,0.6,0.8,0.9,clarkbr01,PF,7.200000000000001,4.699999999999999,0.6527777777777776
Tristan Thompson,5.1,9.9,51.2,0.2,0.4,39.1,1.7,2.8,61.5,4.0,6.2,10.1,2.1,0.6,0.9,1.8,thomptr01,PF,9.5,4.8999999999999995,0.5157894736842105
Jerami Grant,4.3,8.9,47.8,1.4,3.5,38.9,2.1,2.8,75.0,0.8,2.7,3.5,1.2,0.7,0.8,0.9,grantje01,SF,5.4,2.9,0.537037037037037
Brook Lopez,4.3,9.9,43.5,1.5,4.8,31.4,1.9,2.2,83.6,0.9,3.7,4.6,1.5,0.7,2.4,1.0,lopezbr01,C,5.1000000000000005,2.8,0.5490196078431372
Al Horford,4.8,10.6,45.0,1.5,4.2,35.0,0.9,1.2,76.3,1.5,5.3,6.8,4.0,0.8,0.9,1.2,horfoal01,C,6.3999999999999995,3.3,0.515625
Lonzo Ball,4.4,10.9,40.3,2.3,6.3,37.5,0.7,1.2,56.6,1.1,5.0,6.1,7.0,1.4,0.6,3.1,balllo01,PG,4.6000000000000005,2.1000000000000005,0.45652173913043487
Glenn Robinson III,4.6,9.5,48.6,1.2,3.2,39.1,1.2,1.4,86.0,1.3,3.0,4.4,1.5,0.9,0.3,0.9,robingl02,SG-SF,6.3,3.3999999999999995,0.5396825396825397
Patty Mills,3.9,9.1,43.1,2.3,6.1,38.2,1.5,1.7,86.6,0.3,1.3,1.6,1.8,0.8,0.1,0.8,millspa02,PG,3.0,1.6,0.5333333333333333
Nemanja Bjelica,4.4,9.1,48.1,1.9,4.4,41.9,1.0,1.2,82.1,1.5,4.8,6.4,2.8,0.9,0.6,1.4,bjeline01,PF,4.699999999999999,2.5000000000000004,0.5319148936170215
Derrick White,3.7,8.1,45.8,1.2,3.2,36.6,2.6,3.1,85.3,0.5,2.8,3.3,3.5,0.6,0.9,1.3,whitede01,SG,4.8999999999999995,2.5,0.5102040816326531
Bryn Forbes,3.8,9.2,41.7,2.3,6.0,38.8,1.2,1.4,83.3,0.2,1.8,2.0,1.7,0.5,0.0,0.9,forbebr01,SG,3.1999999999999993,1.5,0.4687500000000001
Malik Beasley,4.1,9.7,42.5,1.9,5.0,38.8,1.0,1.2,81.8,0.3,2.4,2.7,1.4,0.7,0.1,1.0,beaslma01,SG,4.699999999999999,2.1999999999999997,0.46808510638297873
Jarrett Allen,4.3,6.6,64.9,0.0,0.1,0.0,2.4,3.9,63.3,3.1,6.5,9.6,1.6,0.6,1.3,1.1,allenja01,C,6.5,4.3,0.6615384615384615
Cody Zeller,4.3,8.3,52.4,0.3,1.3,24.0,2.1,3.1,68.2,2.8,4.3,7.1,1.5,0.7,0.4,1.3,zelleco01,C,7.000000000000001,4.0,0.5714285714285714
Cedi Osman,4.1,9.4,43.7,1.9,4.9,38.3,1.0,1.4,67.0,0.6,3.0,3.6,2.4,0.8,0.2,1.4,osmande01,SF,4.5,2.1999999999999997,0.4888888888888888
Dejounte Murray,4.5,9.7,46.2,0.6,1.7,36.9,1.4,1.7,79.8,1.0,4.8,5.8,4.1,1.7,0.3,1.9,murrade01,PG,7.999999999999999,3.9,0.48750000000000004
Ish Smith,4.5,10.1,44.7,0.9,2.5,36.7,0.9,1.3,72.1,0.4,2.8,3.2,4.9,0.9,0.4,1.4,smithis01,PG,7.6,3.6,0.4736842105263158
Jeff Teague,3.6,8.3,43.6,0.7,2.0,36.8,2.9,3.3,87.3,0.5,1.9,2.4,5.2,0.7,0.3,2.0,teaguje01,PG,6.300000000000001,2.9000000000000004,0.46031746031746035
Steven Adams,4.5,7.6,59.2,0.0,0.0,33.3,1.9,3.2,58.2,3.3,6.0,9.3,2.3,0.8,1.1,1.5,adamsst01,C,7.6,4.5,0.5921052631578948
Rudy Gay,4.0,8.9,44.6,1.1,3.3,33.6,1.8,2.0,88.2,0.9,4.5,5.4,1.7,0.5,0.5,1.3,gayru01,SF,5.6000000000000005,2.9,0.5178571428571428
Dario Saric,3.9,8.2,47.6,1.3,3.6,35.7,1.6,1.9,84.4,1.5,4.6,6.2,1.9,0.6,0.2,1.3,saricda01,PF,4.6,2.5999999999999996,0.5652173913043478
