Player,FieldsGoalMade,FieldsGoalAttempted,FiedlGoals_pc,3PointMade,3PointsA,3Point_pc,FreeTrhowsM,FreeThrowsA,FreeThrow_pc,OffREBounds,DefensREBounds,REBounds,AST,SteaLs,Blocks,Turnovers
Glenn Robinson III,4.60,9.50,48.60,1.20,3.20,39.10,1.20,1.40,86.00,1.30,3.00,4.40,1.50,0.90,0.30,0.90
Patty Mills,3.90,9.10,43.10,2.30,6.10,38.20,1.50,1.70,86.60,0.30,1.30,1.60,1.80,0.80,0.10,0.80
Nemanja Bjelica,4.40,9.10,48.10,1.90,4.40,41.90,1.00,1.20,82.10,1.50,4.80,6.40,2.80,0.90,0.60,1.40
Derrick White,3.70,8.10,45.80,1.20,3.20,36.60,2.60,3.10,85.30,0.50,2.80,3.30,3.50,0.60,0.90,1.30
Bryn Forbes,3.80,9.20,41.70,2.30,6.00,38.80,1.20,1.40,83.30,0.20,1.80,2.00,1.70,0.50,0.00,0.90
Malik Beasley,4.10,9.70,42.50,1.90,5.00,38.80,1.00,1.20,81.80,0.30,2.40,2.70,1.40,0.70,0.10,1.00
Jarrett Allen,4.30,6.60,64.90,0.00,0.10,0.00,2.40,3.90,63.30,3.10,6.50,9.60,1.60,0.60,1.30,1.10
Cody Zeller,4.30,8.30,52.40,0.30,1.30,24.00,2.10,3.10,68.20,2.80,4.30,7.10,1.50,0.70,0.40,1.30
Cedi Osman,4.10,9.40,43.70,1.90,4.90,38.30,1.00,1.40,67.00,0.60,3.00,3.60,2.40,0.80,0.20,1.40
Dejounte Murray,4.50,9.70,46.20,0.60,1.70,36.90,1.40,1.70,79.80,1.00,4.80,5.80,4.10,1.70,0.30,1.90
Ish Smith,4.50,10.10,44.70,0.90,2.50,36.70,0.90,1.30,72.10,0.40,2.80,3.20,4.90,0.90,0.40,1.40
Jeff Teague,3.60,8.30,43.60,0.70,2.00,36.80,2.90,3.30,87.30,0.50,1.90,2.40,5.20,0.70,0.30,2.00
Steven Adams,4.50,7.60,59.20,0.00,0.00,33.30,1.90,3.20,58.20,3.30,6.00,9.30,2.30,0.80,1.10,1.50
Rudy Gay,4.00,8.90,44.60,1.10,3.30,33.60,1.80,2.00,88.20,0.90,4.50,5.40,1.70,0.50,0.50,1.30
Dario Saric,3.90,8.20,47.60,1.30,3.60,35.70,1.60,1.90,84.40,1.50,4.60,6.20,1.90,0.60,0.20,1.30
OG Anunoby,4.10,8.20,50.50,1.30,3.30,39.00,1.00,1.50,70.60,1.20,4.10,5.30,1.60,1.40,0.70,1.10
Jae Crowder,3.50,8.70,40.10,2.10,6.10,34.30,1.50,1.90,77.60,0.80,5.10,5.90,2.50,1.10,0.40,1.10
Cam Reddish,3.70,9.60,38.40,1.40,4.30,33.20,1.70,2.20,80.20,0.60,3.10,3.70,1.50,1.10,0.50,1.70
D.J. Augustin,3.20,8.10,39.90,1.20,3.50,34.80,2.80,3.20,89.00,0.40,1.80,2.10,4.60,0.60,0.00,1.50
Danuel House Jr.,3.70,8.60,42.70,2.00,5.60,36.30,1.20,1.40,81.10,0.90,3.30,4.20,1.30,1.10,0.50,0.90
Troy Brown Jr.,4.00,9.00,43.90,0.90,2.60,34.10,1.60,2.00,78.40,1.10,4.40,5.60,2.60,1.20,0.10,1.10
Gary Harris,3.90,9.30,42.00,1.30,3.80,33.30,1.30,1.60,81.50,0.50,2.40,2.90,2.10,1.40,0.30,1.10
Garrett Temple,3.60,9.50,37.80,2.00,6.20,32.90,1.10,1.40,80.50,0.50,3.00,3.50,2.50,0.80,0.50,1.00
Shabazz Napier,3.40,8.10,41.20,1.40,4.30,31.70,2.30,2.70,82.40,0.50,2.40,2.80,4.70,1.20,0.20,2.30
Thaddeus Young,4.20,9.40,44.80,1.20,3.50,35.60,0.70,1.10,58.30,1.50,3.50,4.90,1.80,1.40,0.40,1.60
Doug McDermott,3.90,7.90,48.80,1.90,4.30,43.50,0.70,0.80,82.80,0.40,2.10,2.50,1.10,0.20,0.10,0.60
Langston Galloway,3.60,8.20,43.50,2.00,5.00,39.90,1.10,1.30,85.90,0.50,1.80,2.30,1.50,0.70,0.20,0.60
Malik Monk,3.90,8.90,43.40,1.10,3.70,28.40,1.50,1.80,82.00,0.50,2.40,2.90,2.10,0.50,0.30,1.40
Bobby Portis,4.00,8.90,45.00,1.00,2.80,35.80,1.10,1.40,76.30,1.20,3.90,5.10,1.50,0.50,0.30,1.10
Josh Hart,3.50,8.20,42.30,1.90,5.40,34.20,1.30,1.80,73.90,0.90,5.60,6.50,1.70,1.00,0.40,1.20
Larry Nance Jr.,4.10,7.70,53.10,1.00,2.80,35.20,0.90,1.30,67.60,1.90,5.40,7.30,2.20,1.00,0.40,1.10
Ben McLemore,3.40,7.70,44.40,2.50,6.40,40.00,0.70,0.90,74.60,0.30,1.90,2.20,0.80,0.60,0.20,0.70
Kevin Porter Jr.,3.70,8.40,44.20,1.10,3.20,33.50,1.50,2.00,72.30,0.40,2.80,3.20,2.20,0.90,0.30,1.90
Tomas Satoransky,3.60,8.50,43.00,1.00,3.10,32.20,1.60,1.90,87.60,1.20,2.70,3.90,5.40,1.20,0.10,2.00
Joe Ingles,3.40,7.70,44.50,2.00,4.90,39.90,1.00,1.30,78.70,0.40,3.50,3.90,5.20,0.90,0.20,2.00
Furkan Korkmaz,3.40,7.80,43.00,2.00,4.90,40.20,1.10,1.40,75.50,0.30,2.10,2.30,1.10,0.60,0.20,0.80
Mitchell Robinson,4.10,5.60,74.20,0.00,0.00,0.00,1.40,2.40,56.80,3.00,4.00,7.00,0.60,0.90,2.00,0.60
Markieff Morris,3.50,7.90,44.30,1.50,3.90,38.60,1.10,1.50,77.60,0.70,3.10,3.80,1.30,0.50,0.30,1.30
Dorian Finney-Smith,3.40,7.40,46.60,1.60,4.30,37.60,1.10,1.50,72.20,2.00,3.70,5.70,1.60,0.60,0.50,1.00
Aaron Holiday,3.50,8.50,41.40,1.30,3.30,39.40,1.10,1.30,85.10,0.30,2.00,2.40,3.40,0.80,0.20,1.30
George Hill,3.30,6.40,51.60,1.40,3.00,46.00,1.40,1.70,84.20,0.80,2.20,3.00,3.10,0.80,0.10,1.00
Kentavious Caldwell-Pope,3.40,7.30,46.70,1.30,3.50,38.50,1.10,1.50,77.50,0.60,1.50,2.10,1.60,0.80,0.20,0.90
Michael Porter Jr.,3.50,7.00,50.90,1.10,2.70,42.20,1.10,1.30,83.30,1.20,3.50,4.70,0.80,0.50,0.50,0.90
Marquese Chriss,3.60,6.50,54.50,0.10,0.70,20.50,2.00,2.60,76.90,1.90,4.30,6.20,1.90,0.70,1.10,1.30
Landry Shamet,3.00,7.40,40.40,2.10,5.60,37.50,1.20,1.40,85.50,0.10,1.80,1.90,1.90,0.40,0.20,0.80
Daniel Theis,3.70,6.60,56.60,0.50,1.50,33.30,1.30,1.80,76.30,2.20,4.40,6.60,1.70,0.60,1.30,0.80
Donte DiVincenzo,3.50,7.70,45.50,1.30,3.70,33.60,1.00,1.30,73.30,1.00,3.80,4.80,2.30,1.30,0.30,1.40
Jarrett Culver,3.70,9.00,40.40,1.00,3.50,29.90,0.90,1.90,46.20,1.10,2.30,3.40,1.70,0.90,0.60,1.30
Mikal Bridges,3.40,6.60,51.00,1.00,2.70,36.10,1.40,1.70,84.40,0.90,3.10,4.00,1.80,1.40,0.60,1.00
Maxi Kleber,3.20,6.90,46.10,1.60,4.30,37.30,1.10,1.30,84.90,1.50,3.70,5.20,1.20,0.30,1.10,0.80
Monte Morris,3.60,7.80,45.90,0.90,2.40,37.80,1.00,1.20,84.30,0.30,1.50,1.90,3.50,0.80,0.20,0.70
Derrick Favors,4.10,6.60,61.70,0.00,0.10,14.30,0.80,1.40,56.30,3.20,6.60,9.80,1.60,0.60,0.90,1.10
Svi Mykhailiuk,3.00,7.20,41.00,2.10,5.10,40.40,1.00,1.30,81.40,0.30,1.60,1.90,1.90,0.70,0.10,1.10
Bruce Brown,3.40,7.70,44.30,0.60,1.70,34.40,1.50,2.10,73.90,1.10,3.70,4.70,4.00,1.10,0.50,1.70
Gary Trent Jr.,3.20,7.20,44.40,1.80,4.40,41.80,0.60,0.70,82.20,0.40,1.20,1.60,1.00,0.80,0.30,0.30
Cameron Johnson,3.10,7.10,43.50,1.90,4.80,39.00,0.80,1.00,80.70,0.90,2.40,3.30,1.20,0.60,0.40,0.60
Jordan Poole,2.90,8.80,33.30,1.30,4.60,27.90,1.70,2.10,79.80,0.20,1.90,2.10,2.40,0.60,0.20,1.30
Kent Bazemore,2.90,7.90,37.50,1.20,3.60,34.40,1.70,2.20,76.90,0.40,3.90,4.30,1.40,1.10,0.60,1.30
Austin Rivers,3.10,7.40,42.10,1.40,4.00,35.60,1.10,1.60,70.30,0.40,2.20,2.60,1.70,0.70,0.10,0.70
Josh Okogie,2.70,6.40,42.70,0.70,2.50,26.60,2.50,3.10,79.60,1.40,2.90,4.30,1.60,1.10,0.40,1.40
Derrick Jones Jr.,3.10,5.90,52.70,0.60,2.20,28.00,1.60,2.10,77.20,1.10,2.80,3.90,1.10,1.00,0.60,0.50
E'Twaun Moore,3.30,7.80,42.60,1.10,3.00,37.70,0.60,0.80,68.90,0.60,1.80,2.30,1.40,0.60,0.20,0.70
DeAndre Jordan,3.40,5.10,66.60,0.00,0.00,0.00,1.50,2.20,68.00,2.50,7.50,10.00,1.90,0.30,0.90,1.30
Ivica Zubac,3.30,5.30,61.30,0.00,0.00,0.00,1.70,2.30,74.70,2.70,4.80,7.50,1.10,0.20,0.90,0.80
Anfernee Simons,3.10,7.70,39.90,1.10,3.20,33.20,1.10,1.30,82.60,0.40,1.80,2.20,1.40,0.40,0.10,0.90
Justin Holiday,2.80,6.70,42.80,1.80,4.50,40.50,0.70,0.90,79.10,0.40,2.80,3.30,1.30,1.20,0.60,0.60
Kelly Olynyk,2.70,5.90,46.20,1.40,3.50,40.60,1.30,1.50,86.00,0.70,3.90,4.60,1.70,0.70,0.30,1.10
Jalen Brunson,3.20,6.80,46.60,0.80,2.10,35.80,1.10,1.30,81.30,0.40,2.00,2.40,3.30,0.40,0.10,1.20
Enes Kanter,3.40,6.00,57.20,0.00,0.10,14.30,1.20,1.70,70.70,2.80,4.60,7.40,1.00,0.40,0.70,1.00
Danny Green,2.90,7.00,41.60,1.80,4.80,36.70,0.50,0.70,68.80,0.80,2.60,3.30,1.30,1.30,0.50,0.90
Tony Snell,2.90,6.50,44.50,1.70,4.30,40.20,0.50,0.50,100.00,0.20,1.70,1.90,2.20,0.50,0.30,0.50
Trevor Ariza,2.70,6.10,43.80,1.50,3.90,37.20,1.20,1.40,83.80,0.60,4.00,4.60,1.70,1.30,0.30,1.10
Alex Len,3.20,5.80,55.50,0.30,1.10,27.10,1.20,1.90,64.80,1.80,4.00,5.80,0.90,0.40,0.90,1.00
