Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Mikal Bridges,51.0,36.1,84.4,0.9,3.1,1.8,1.4,0.6,1.0,bridgmi01,SF,0.6153846153846154
Maxi Kleber,46.1,37.3,84.9,1.5,3.7,1.2,0.3,1.1,0.8,klebima01,PF,0.6153846153846153
Monte Morris,45.9,37.8,84.3,0.3,1.5,3.5,0.8,0.2,0.7,morrimo01,PG,0.5
Derrick Favors,61.7,14.3,56.3,3.2,6.6,1.6,0.6,0.9,1.1,favorde01,PF,0.6307692307692307
Svi Mykhailiuk,41.0,40.4,81.4,0.3,1.6,1.9,0.7,0.1,1.1,mykhasv01,SF,0.4285714285714284
Bruce Brown,44.3,34.4,73.9,1.1,3.7,4.0,1.1,0.5,1.7,brownbr01,SG,0.4666666666666666
Gary Trent Jr.,44.4,41.8,82.2,0.4,1.2,1.0,0.8,0.3,0.3,trentga02,SG,0.5000000000000001
Cameron Johnson,43.5,39.0,80.7,0.9,2.4,1.2,0.6,0.4,0.6,johnsca02,PF,0.5217391304347827
Jordan Poole,33.3,27.9,79.8,0.2,1.9,2.4,0.6,0.2,1.3,poolejo01,SG,0.3809523809523808
Kent Bazemore,37.5,34.4,76.9,0.4,3.9,1.4,1.1,0.6,1.3,bazemke01,SG,0.3953488372093022
Austin Rivers,42.1,35.6,70.3,0.4,2.2,1.7,0.7,0.1,0.7,riverau01,SG,0.5
Josh Okogie,42.7,26.6,79.6,1.4,2.9,1.6,1.1,0.4,1.4,okogijo01,SG,0.5128205128205128
Derrick Jones Jr.,52.7,28.0,77.2,1.1,2.8,1.1,1.0,0.6,0.5,jonesde02,SF,0.6756756756756757
E'Twaun Moore,42.6,37.7,68.9,0.6,1.8,1.4,0.6,0.2,0.7,mooreet01,SG,0.4583333333333333
DeAndre Jordan,66.6,0.0,68.0,2.5,7.5,1.9,0.3,0.9,1.3,jordade01,C,0.6666666666666667
Ivica Zubac,61.3,0.0,74.7,2.7,4.8,1.1,0.2,0.9,0.8,zubaciv01,C,0.6226415094339622
Anfernee Simons,39.9,33.2,82.6,0.4,1.8,1.4,0.4,0.1,0.9,simonan01,SG,0.4444444444444444
Justin Holiday,42.8,40.5,79.1,0.4,2.8,1.3,1.2,0.6,0.6,holidju01,SG,0.4545454545454544
Kelly Olynyk,46.2,40.6,86.0,0.7,3.9,1.7,0.7,0.3,1.1,olynyke01,PF,0.5416666666666667
Jalen Brunson,46.6,35.8,81.3,0.4,2.0,3.3,0.4,0.1,1.2,brunsja01,PG,0.5106382978723406
Enes Kanter,57.2,14.3,70.7,2.8,4.6,1.0,0.4,0.7,1.0,kanteen01,C,0.5762711864406779
